,id,ad_type,start_date,end_date,created_on,lat,lon,l1,l2,l3,l4,l5,l6,habitaciones,dormitorios,baños,sup_total,sup_cubierta,precio,moneda,price_period,título,tipo_propiedad,tipo_operac
147,BmRsOck/zZ0V11R0SkOQyQ==,Propiedad,2020-05-09,2020-05-23,2020-05-09,-34.56857681,-58.49028015,Argentina,Capital Federal,Villa Urquiza,,,,,,1.0,38.0,32.0,15000.0,ARS,,Quesada  5100 6°  - $ 15.000 - Departamento Alquiler,Departamento,Alquiler
895,/nEjLih7yp7XrV89xgZtdg==,Propiedad,2020-05-09,2020-08-20,2020-05-09,-34.5839686,-58.4756756,Argentina,Capital Federal,Villa Urquiza,,,,1.0,1.0,1.0,45.0,31.0,99000.0,USD,Mensual,Hermoso monoambiente en Villa Urquiza!!!,Departamento,Venta
896,8PD4lYgBomBvBj89HZXjew==,Propiedad,2020-05-09,2020-05-20,2020-05-09,-34.58008194,-58.480896,Argentina,Capital Federal,Villa Urquiza,,,,1.0,,1.0,62.0,45.0,158000.0,USD,,La Pampa Al  5100 - U$D 158.000 - Departamento en Venta,Departamento,Venta
897,Hu+uveYWZg5tPi+qlpa7eQ==,Propiedad,2020-05-09,2020-05-20,2020-05-09,-34.58008194,-58.480896,Argentina,Capital Federal,Villa Urquiza,,,,1.0,,1.0,54.0,45.0,137000.0,USD,,La Pampa Al  5100 - U$D 137.000 - Departamento en Venta,Departamento,Venta
898,xtkPGFK6W8yUwwXDRGohFw==,Propiedad,2020-05-09,2020-05-20,2020-05-09,-34.57764435,-58.47227097,Argentina,Capital Federal,Villa Urquiza,,,,1.0,,1.0,73.0,55.0,170000.0,USD,,Mariano Acha Al  1600 - U$D 170.000 - Departamento en Venta,Departamento,Venta
1087,vWPFLfk5fQ66Zz5XoQyzgg==,Propiedad,2020-05-09,9999-12-31,2020-05-09,-34.5661444,-58.4964289,Argentina,Capital Federal,Villa Urquiza,,,,2.0,,1.0,,51.0,110000.0,USD,Mensual,Hermoso departamento 2 ambientes en Villa Urquiza!!!,Departamento,Venta
1088,ZiOtCwYN5rr8eAme2sJxuA==,Propiedad,2020-05-09,2020-05-20,2020-05-09,-34.56949234,-58.48693466,Argentina,Capital Federal,Villa Urquiza,,,,2.0,,2.0,80.0,72.0,275000.0,USD,,Pacheco  2800 - U$D 275.000 - Departamento en Venta,Departamento,Venta
1089,/STHvaVNCl3nEDklpAuwlA==,Propiedad,2020-05-09,9999-12-31,2020-05-09,-34.5788968,-58.4838738,Argentina,Capital Federal,Villa Urquiza,,,,2.0,1.0,1.0,47.0,47.0,99000.0,USD,Mensual,Divino departamento 2 ambientes en Villa Urquiza!!!,Departamento,Venta
1311,YTmtAMZ3uv8fdp9zLqWhzw==,Propiedad,2020-05-09,2020-05-20,2020-05-09,-34.56949234,-58.48693466,Argentina,Capital Federal,Villa Urquiza,,,,3.0,,1.0,146.0,130.0,520000.0,USD,,Pacheco  2800 - U$D 520.000 - Departamento en Venta,Departamento,Venta
1312,egkbwknnBUjpQdVVZORTiQ==,Propiedad,2020-05-09,2020-05-20,2020-05-09,-34.58008194,-58.480896,Argentina,Capital Federal,Villa Urquiza,,,,3.0,,1.0,155.0,140.0,550000.0,USD,,La Pampa Al  5100 - U$D 550.000 - Departamento en Venta,Departamento,Venta
1879,ZLZed9RXef0hC5JO7H6NAA==,Propiedad,2019-12-23,2020-01-21,2019-12-23,-34.565388,-58.481374,Argentina,Capital Federal,Villa Urquiza,,,,1.0,,1.0,47.0,47.0,164000.0,USD,,MAMBIENTE VENTA A ESTRENAR AMENITIES V. URQUIZA,Departamento,Venta
1880,CrktrKvxnD/8S9rCZPUE4A==,Propiedad,2019-12-23,2020-10-03,2019-12-23,-34.575388,-58.484156,Argentina,Capital Federal,Villa Urquiza,,,,1.0,,1.0,42.0,36.0,160000.0,USD,,"Dpto. 3 amb a estrenar con Piscina, SUM- Villa Urq",Departamento,Venta
2098,cOFFPWhKUDbwdo6v3h1Vrg==,Propiedad,2019-12-23,2020-02-13,2019-12-23,-34.5762938,-58.486225,Argentina,Capital Federal,Villa Urquiza,,,,3.0,,1.0,94.0,77.0,28000.0,ARS,Mensual,Departamento 3 ambientes con dependencia - Villa Urquiza,Departamento,Alquiler
2099,JL6TwfiXI9K1foSe9+bXRw==,Propiedad,2019-12-23,2020-01-02,2019-12-23,-34.5794661,-58.4955293,Argentina,Capital Federal,Villa Urquiza,,,,1.0,,1.0,32.0,28.0,10500.0,ARS,Mensual,Departamento - Villa Urquiza,Departamento,Alquiler
2215,V8/9utQNqG/rAuu9jLDKSQ==,Propiedad,2019-12-23,2020-01-26,2019-12-23,-34.568665,-58.498822,Argentina,Capital Federal,Villa Urquiza,,,,2.0,1.0,1.0,83.0,50.0,156000.0,USD,,"Venta, Ph de 2 amb en Villa Urquiza SIN EXPENSAS",PH,Venta
2247,vtVAzeaJOYAw5xg90qzmdQ==,Propiedad,2019-12-23,2020-01-21,2019-12-23,-34.565388,-58.481374,Argentina,Capital Federal,Villa Urquiza,,,,2.0,1.0,2.0,69.0,69.0,220000.0,USD,,2 AMBIENTES VENTA A ESTRENAR AMENITIES V. URQUIZA,Departamento,Venta
2248,ARaa0pmiQm3l90yh7YX1ZA==,Propiedad,2019-12-23,2020-04-19,2019-12-23,-34.579624,-58.48093,Argentina,Capital Federal,Villa Urquiza,,,,2.0,1.0,1.0,46.0,42.0,142800.0,USD,,Venta Departamento en Villa Urquiza Capital Federal Gamarra 1800,Departamento,Venta
2249,82/3nvpLuueryENxb+OEsw==,Propiedad,2019-12-23,2020-04-19,2019-12-23,-34.579605,-58.480949,Argentina,Capital Federal,Villa Urquiza,,,,2.0,1.0,1.0,49.0,45.0,152800.0,USD,,Venta Departamento en Villa Urquiza Capital Federal Gamarra 1800,Departamento,Venta
2250,xgS9tzfW3ov4mn1ILrUdpg==,Propiedad,2019-12-23,2020-01-21,2019-12-23,-34.565388,-58.481374,Argentina,Capital Federal,Villa Urquiza,,,,2.0,1.0,1.0,52.0,52.0,177000.0,USD,,2 AMBIENTES VENTA A ESTRENAR AMENITIES V. URQUIZA,Departamento,Venta
2251,kLFTN2ayjuNnudrMiG/s9g==,Propiedad,2019-12-23,2020-10-03,2019-12-23,-34.575376,-58.48438,Argentina,Capital Federal,Villa Urquiza,,,,2.0,1.0,1.0,62.0,54.0,225000.0,USD,,"Dpto. 3 amb a estrenar con Piscina, SUM, etc.",Departamento,Venta
2252,w6f9H4BdiXGNl/sjJZIaLw==,Propiedad,2019-12-23,2020-04-19,2019-12-23,-34.579552,-58.480949,Argentina,Capital Federal,Villa Urquiza,,,,2.0,1.0,1.0,67.0,45.0,154900.0,USD,,Venta Departamento en Villa Urquiza Capital Federal Gamarra 1800,Departamento,Venta
2315,S1kk930nWkHC1gOyWoRSKw==,Propiedad,2019-12-23,2020-01-21,2019-12-23,-34.565388,-58.481374,Argentina,Capital Federal,Villa Urquiza,,,,3.0,2.0,2.0,85.0,85.0,286000.0,USD,,3 AMBIENTES VENTA A ESTRENAR AMENITIES V. URQUIZA,Departamento,Venta
2383,vxn6UM40JQa4tQySARAbGg==,Propiedad,2019-12-23,2020-04-19,2019-12-23,-34.579571,-58.480972,Argentina,Capital Federal,Villa Urquiza,,,,4.0,3.0,2.0,130.0,92.0,349600.0,USD,,Venta Departamento en Villa Urquiza Capital Federal Gamarra 1800,Departamento,Venta
2384,whF3+GjGgqrmfEWDyjtW3g==,Propiedad,2019-12-23,2020-04-19,2019-12-23,-34.57959,-58.480949,Argentina,Capital Federal,Villa Urquiza,,,,4.0,3.0,2.0,136.0,96.0,365000.0,USD,,Venta Departamento en Villa Urquiza Capital Federal Gamarra 1800,Departamento,Venta
2385,sXEnTlD9/uelPnAk3ENDsQ==,Propiedad,2019-12-23,2020-01-18,2019-12-23,-34.569403,-58.484001,Argentina,Capital Federal,Villa Urquiza,,,,4.0,3.0,1.0,73.0,71.0,152000.0,USD,,Venta 4 ambientes Villa Urquiza,Departamento,Venta
2705,FMWWtCRRqyM5kagbwJKm3w==,Propiedad,2020-08-17,2020-08-24,2020-08-17,,,Argentina,Capital Federal,Villa Urquiza,,,,,,1.0,19.0,19.0,10000.0,ARS,,LOCAL EN ALQUILER VILLA URQUIZA,Oficina,Alquiler
2732,Q0vSntX3af5UFyHPBsmYFw==,Propiedad,2020-08-17,2020-08-24,2020-08-17,-34.5813305377,-58.4743345776,Argentina,Capital Federal,Villa Urquiza,,,,3.0,2.0,1.0,77.0,67.0,140000.0,USD,,Departamento en venta de 3 ambientes estrenar con balcón mas cochera,Departamento,Venta
2791,W0cWiXRPPdiJOUpQZCXowg==,Propiedad,2020-08-17,2020-08-25,2020-08-17,-34.5792835,-58.4941922,Argentina,Capital Federal,Villa Urquiza,,,,,,,181.0,,530000.0,USD,,Excelente lote - oportunidad-,Lote,Venta
2792,yobnlYxtcxIcnCKwimqWSg==,Propiedad,2020-08-17,2020-08-25,2020-08-17,-34.5705179,-58.4914578,Argentina,Capital Federal,Villa Urquiza,,,,,,,157.0,,680000.0,USD,,Lote excelente ubicación - oportunidad-,Lote,Venta
2893,xsMXvyqlaYiMtPuzFT7OWA==,Propiedad,2020-08-17,2020-08-25,2020-08-17,-34.5834056,-58.4689335,Argentina,Capital Federal,Villa Urquiza,,,,3.0,2.0,2.0,71.0,61.0,173000.0,USD,,DEPARTAMENTO 3 AMBIENTES - VILLA URQUIZA,Departamento,Venta
3324,6J0kE4hX9RhT9jItI78jyA==,Propiedad,2020-08-17,2020-09-13,2020-08-17,-34.575209,-58.484372,Argentina,Capital Federal,Villa Urquiza,,,,1.0,1.0,1.0,57.0,48.0,165000.0,USD,,Departamento A ESTRENAR Monoambiente,Departamento,Venta
3325,pm3TT3cb+VJxt6uwPIZoRw==,Propiedad,2020-08-17,2020-09-13,2020-08-17,-34.575209,-58.484372,Argentina,Capital Federal,Villa Urquiza,,,,1.0,1.0,1.0,50.0,32.0,200000.0,USD,,Excelente departamento a Estrenar,Departamento,Venta
3326,fEtweGEoyqOdsol0hT/5+w==,Propiedad,2020-08-17,2020-09-13,2020-08-17,-34.575209,-58.484372,Argentina,Capital Federal,Villa Urquiza,,,,1.0,1.0,1.0,40.0,31.0,137000.0,USD,,Departamento A ESTRENAR Monoambiente,Departamento,Venta
3335,lCdYONi83PBYqdCas0SOHA==,Propiedad,2020-08-17,2020-09-13,2020-08-17,-34.575209,-58.484372,Argentina,Capital Federal,Villa Urquiza,,,,3.0,2.0,1.0,63.0,55.0,215000.0,USD,,Departamento A ESTRENAR 2 amb + escritorio,Departamento,Venta
3337,HJzlFqm94jfO/MW8E7XIYA==,Propiedad,2020-08-17,2020-09-13,2020-08-17,-34.575209,-58.484372,Argentina,Capital Federal,Villa Urquiza,,,,4.0,2.0,2.0,105.0,85.0,395000.0,USD,,Muy lindo Departamento 3 ambientes mas escritorio,Departamento,Venta
3547,YF0hNLKs0njqG99zbyBcCw==,Propiedad,2020-08-17,9999-12-31,2020-08-17,-34.5770898,-58.4868235,Argentina,Capital Federal,Villa Urquiza,,,,3.0,2.0,1.0,54.0,,187000.0,USD,Mensual,Departamento - Villa Urquiza,Departamento,Venta
3843,T9UheZafFvjmjRZca63Pxw==,Propiedad,2020-04-27,2020-08-19,2020-04-27,-34.572614,-58.487325,Argentina,Capital Federal,Villa Urquiza,,,,3.0,2.0,2.0,75.0,61.0,38000.0,ARS,Mensual,Alquiler - Cullen 5000 - Dpto 3 Amb con Cochera Cubierta - Villa Urquiza -,Departamento,Alquiler
6325,6fzl6D50gaDOEAZ0OvXZvQ==,Propiedad,2020-04-27,2020-04-28,2020-04-27,-34.573597,-58.480587,Argentina,Capital Federal,Villa Urquiza,,,,,,2.0,,,225000.0,USD,Mensual,Hermoso 3 amb con cochera,Otro,Venta
7136,Zgb9XEYzNDDQ4/LhjM65rw==,Propiedad,2019-12-14,2019-12-19,2019-12-14,-34.5734024,-58.47366333,Argentina,Capital Federal,Villa Urquiza,,,,1.0,,1.0,37.0,37.0,23000.0,ARS,,Echeverria  4200 1°  - $ 23.000 - Departamento Alquiler temporario,Departamento,Alquiler temporal
7137,/3fAMAs4/LHRpmCo8FqTcQ==,Propiedad,2019-12-14,2020-01-04,2019-12-14,-34.57121658,-58.48945236,Argentina,Capital Federal,Villa Urquiza,,,,,,1.0,37.0,33.0,13500.0,ARS,,Capdevila  2800 2°  - $ 13.500 - Departamento Alquiler,Departamento,Alquiler
7138,Fjewr9m643Wfe2kqQ6b7Ig==,Propiedad,2019-12-14,2020-03-16,2019-12-14,-34.57233429,-58.4787674,Argentina,Capital Federal,Villa Urquiza,,,,2.0,,1.0,64.0,55.0,27000.0,ARS,,Av Olazabal  4400 10°  - $ 27.000 - Departamento Alquiler,Departamento,Alquiler
7139,/s/Vz1Kcn5yjzYUsnaX1WA==,Propiedad,2019-12-14,2019-12-28,2019-12-14,-34.57753754,-58.48960114,Argentina,Capital Federal,Villa Urquiza,,,,1.0,,1.0,30.0,28.0,15000.0,ARS,,Blanco Encalada  5300 8°  - $ 15.000 - Departamento Alquiler,Departamento,Alquiler
7182,d652MRlN1YcaiVpYLuCUjg==,Propiedad,2019-12-14,2020-02-15,2019-12-14,-34.5682883364,-58.4970665641,Argentina,Capital Federal,Villa Urquiza,,,,2.0,,1.0,78.0,58.0,139000.0,USD,Mensual,VENTA 2 AMBIENTES PH EN TRIPLEX - VILLA URQUIZA,PH,Venta
7409,LXFRQwI4BL+vIWlytJ1uYg==,Propiedad,2019-12-14,2020-10-03,2019-12-14,-34.571435,-58.483387,Argentina,Capital Federal,Villa Urquiza,,,,,,,25.0,25.0,31000.0,USD,,Cochera Doble en Venta en Villa Urquiza,Cochera,Venta
7410,au8lX+UDtWHMc0gJjhMbrQ==,Propiedad,2019-12-14,2020-08-24,2019-12-14,-34.571303,-58.48311,Argentina,Capital Federal,Villa Urquiza,,,,,,,15.0,15.0,24000.0,USD,,Cochera Venta Villa Urquiza Apto Inversion y Renta,Cochera,Venta
7704,lDV/v8tcTDDmukEN9dEN4g==,Propiedad,2019-12-14,2019-12-23,2019-12-14,-34.5816685,-58.4720084,Argentina,Capital Federal,Villa Urquiza,,,,1.0,1.0,1.0,32.0,32.0,17000.0,ARS,,Monoambiente en alquiler con terraza propia - Amplio y Luminoso - Villa Urquiza,Departamento,Alquiler
7722,6BRj5VIBk4xE8gUD7vXd8w==,Propiedad,2019-12-14,2019-12-25,2019-12-14,-34.57527,-58.478042,Argentina,Capital Federal,Villa Urquiza,,,,2.0,1.0,1.0,200.0,56.0,125000.0,USD,,Venta PH A RECICLAR V. Urquiza Ideal Inversor,PH,Venta
7723,QFLH0J20QgzW/w6E1e2H1w==,Propiedad,2019-12-14,2020-07-05,2019-12-14,-34.563934,-58.493721,Argentina,Capital Federal,Villa Urquiza,,,,2.0,1.0,1.0,39.0,39.0,125000.0,USD,,PH A ESTRENAR!!! APTO PROFESIONAL.,PH,Venta
7841,pud/Qr+ldJUkLTgTkB28wg==,Propiedad,2019-12-14,2019-12-23,2019-12-14,-34.5631598,-58.4937892,Argentina,Capital Federal,Villa Urquiza,,,,2.0,1.0,1.0,48.0,45.0,158000.0,USD,,"VARELA KRAMER VENDE DEPARTAMENTO DOS AMBIENTES CON COCHERA EN VILLA URQUIZA, CAPITAL",Departamento,Venta
7842,XZPd0xccg8oGuteFh2/bwg==,Propiedad,2019-12-14,2020-06-27,2019-12-14,-34.584712,-58.47559,Argentina,Capital Federal,Villa Urquiza,,,,2.0,1.0,1.0,53.0,39.0,135000.0,USD,,VENTA 2 AMBIENTES PB DE 53m2  C/ PATIO V.URQUIZA,Departamento,Venta
7843,y94K6NXaQv0pwFvCP0+C9g==,Propiedad,2019-12-14,2020-03-18,2019-12-14,-34.569543,-58.487972,Argentina,Capital Federal,Villa Urquiza,,,,1.0,1.0,1.0,,30.0,95000.0,USD,,Venta departamento monoambiente en Villa Urquiza,Departamento,Venta
7943,mvFv6tFYPIknBXdWCRC3xQ==,Propiedad,2019-12-14,2019-12-23,2019-12-14,-34.5793072,-58.4887235,Argentina,Capital Federal,Villa Urquiza,,,,3.0,2.0,2.0,77.0,70.0,26000.0,ARS,,Departamento 3 ambientes con espacio guardacoche,Departamento,Alquiler
7959,kQwA3y+YzwuFqGv4KLHolg==,Propiedad,2019-12-14,2019-12-25,2019-12-14,-34.57527,-58.478042,Argentina,Capital Federal,Villa Urquiza,,,,3.0,2.0,1.0,124.0,55.0,138000.0,USD,,Venta PH A RECICLAR V. Urquiza Ideal Inversor,PH,Venta
7960,rPQBaNxwDrvtm0YK6nSuAA==,Propiedad,2019-12-14,2020-07-05,2019-12-14,-34.56434,-58.493485,Argentina,Capital Federal,Villa Urquiza,,,,3.0,2.0,1.0,90.0,58.0,250000.0,USD,,PH A ESTRENAR!!! CON PATIO!!!,PH,Venta
7961,797SNb2po6U47eqs/RM2Dw==,Propiedad,2019-12-14,2020-07-05,2019-12-14,-34.564098,-58.493513,Argentina,Capital Federal,Villa Urquiza,,,,3.0,2.0,1.0,150.0,74.0,240000.0,USD,,PH A ESTRENARllll CON TERRAZA PROPIA!!!,PH,Venta
8081,TaKYq7tInDu3eFKHmpN4qQ==,Propiedad,2019-12-14,2019-12-23,2019-12-14,-34.5723986,-58.4823731,Argentina,Capital Federal,Villa Urquiza,,,,3.0,2.0,1.0,97.0,97.0,265000.0,USD,,Venta - Alvarez Thomas Av. 3000,Departamento,Venta
8302,G4/d73UUFRIFyTUqeBm45A==,Propiedad,2019-12-14,2019-12-17,2019-12-14,-34.573861,-58.495292,Argentina,Capital Federal,Villa Urquiza,,,,5.0,4.0,3.0,185.0,120.0,380000.0,USD,,"VENTA PH TIPO CASA 5 AMB. CON DEPENDENCIA, COCHERA",PH,Venta
8375,XSoBE9msRvgBoseRGu8oQA==,Propiedad,2019-12-25,2020-10-22,2019-12-25,-34.5646625786,-58.4924151153,Argentina,Capital Federal,Villa Urquiza,,,,4.0,,1.0,,100.0,190000.0,USD,Mensual,CASA EN VENTA SOBRE LOTE PROPIO,Casa,Venta
8384,OXBorEGUdeI74H/3RB4CCg==,Propiedad,2019-12-25,2020-11-18,2019-12-25,-34.5841758,-58.4755309,Argentina,Capital Federal,Villa Urquiza,,,,,,,,,,,Mensual,Terreno en Parque Chas!!,Lote,Venta
8592,JwIKg1nVY2ubKK5XkYSbDw==,Propiedad,2019-12-25,2020-01-09,2019-12-25,-34.57555,-58.43981,Argentina,Capital Federal,Villa Urquiza,,,,,,5.0,2753.0,2753.0,,,Mensual,Local de 1 ambiente en Alquiler en Villa urquiza,Local comercial,Alquiler
8593,XA+DVH6ZZBc0IyE/IPPeqw==,Propiedad,2019-12-25,2020-01-09,2019-12-25,-34.57533,-58.46353,Argentina,Capital Federal,Villa Urquiza,,,,,,5.0,1350.0,1350.0,,,Mensual,Local de 1 ambiente en Alquiler en Villa urquiza,Local comercial,Alquiler
8688,V8+i81kF+EDo+gi45tqoMg==,Propiedad,2019-12-25,2020-02-26,2019-12-25,-34.580022,-58.4936196,Argentina,Capital Federal,Villa Urquiza,,,,2.0,,1.0,45.0,42.0,106000.0,USD,Mensual,2 amb luminoso con cocina integrada y balcón. Excelente distribución,Departamento,Venta
8689,X7fi+1NDYsYHlwYK5foYfw==,Propiedad,2019-12-25,2020-02-26,2019-12-25,-34.5865801,-58.4744292,Argentina,Capital Federal,Villa Urquiza,,,,1.0,,1.0,34.0,31.0,79900.0,USD,Mensual,Monoambiente con amplio Balcón - Parque Chas - Ideal para Renta,Departamento,Venta
8881,0pgA0vXhT50odsS9fJYDiw==,Propiedad,2019-12-25,2020-02-02,2019-12-25,-34.571247,-58.483229,Argentina,Capital Federal,Villa Urquiza,,,,2.0,1.0,1.0,50.0,42.0,138000.0,USD,,Venta Departamento 2 ambientes en Villa Urquiza,Departamento,Venta
8894,30tBniTo4sliT0V6lIvnxw==,Propiedad,2019-12-25,2019-12-26,2019-12-25,-34.578039,-58.491471,Argentina,Capital Federal,Villa Urquiza,,,,1.0,1.0,1.0,40.0,35.0,15000.0,ARS,,MODERNO Y AMPLIO MONOAMBIENTE EN URQUIZA R,Departamento,Alquiler
9022,vYMzFnYb8JVizhwnq8FxYA==,Propiedad,2019-12-25,2020-01-11,2019-12-25,-34.575005,-58.487276,Argentina,Capital Federal,Villa Urquiza,,,,2.0,2.0,1.0,40.0,38.0,18000.0,ARS,,Alquiler 2 ambientes balcón lavadero Villa Urquiza,Departamento,Alquiler
9057,gnnzHGth6UKIxXr+EQCDDw==,Propiedad,2019-12-25,2020-02-13,2019-12-25,-34.569256,-58.471137,Argentina,Capital Federal,Villa Urquiza,,,,3.0,2.0,2.0,89.0,64.0,36000.0,ARS,,"Departamento de 3 Amb,Balcón terraza/Cochera + Dep",Departamento,Alquiler
9079,cwlfujFis0m1txYCotOGaw==,Propiedad,2019-12-25,2020-09-02,2019-12-25,-34.573613,-58.498006,Argentina,Capital Federal,Villa Urquiza,,,,6.0,3.0,2.0,180.0,145.0,245000.0,USD,,Ph tipo casa entrada independiente patio y cochera,PH,Venta
9379,HChnkcgRj1qfLnAtqplIAA==,Propiedad,2020-04-20,2020-05-05,2020-04-20,-34.5626025,-58.4873758,Argentina,Capital Federal,Villa Urquiza,,,,3.0,2.0,1.0,52.0,52.0,48000.0,ARS,Mensual,"Departamento - Villa Urquiza, 3 amb Duplex - Libre ya",Departamento,Alquiler temporal
9384,mx5ssBshmqIpf2gMv9al8A==,Propiedad,2020-04-20,2020-11-03,2020-04-20,-34.5709015,-58.4807308,Argentina,Capital Federal,Villa Urquiza,,,,4.0,,1.0,100.0,100.0,40000.0,ARS,Mensual,Departamento - Villa Urquiza,Oficina,Alquiler
9564,nMhJhVVnA8HFvUPDR4bqew==,Propiedad,2020-04-20,2020-04-27,2020-04-20,-34.5626423,-58.4910126,Argentina,Capital Federal,Villa Urquiza,,,,,,1.0,,,145000.0,USD,,Ph a estrenar¡!! 2 Ambientes con balcón y terraza propia¡! Tríplex,Otro,Venta
9602,rd18sjqXrW+NnWLLdj57fQ==,Propiedad,2020-04-20,2020-05-05,2020-04-20,-34.5736727,-58.4788685,Argentina,Capital Federal,Villa Urquiza,,,,,2.0,1.0,58.0,64.0,205000.0,USD,,TRES AMBIENTES CON COCHERA,Departamento,Venta
9691,RlIhFKXZEjFuoJyUyYJLfA==,Propiedad,2020-04-20,2020-05-11,2020-04-20,-34.5802653,-58.4832317,Argentina,Capital Federal,Villa Urquiza,,,,1.0,1.0,1.0,38.0,38.0,89000.0,USD,Mensual,Departamento - Urquiza R,Departamento,Venta
9692,DHNrPg7rdVaubp0DiGRD1w==,Propiedad,2020-04-20,2020-04-29,2020-04-20,-34.5802653,-58.4832317,Argentina,Capital Federal,Villa Urquiza,,,,1.0,1.0,1.0,65.0,65.0,123000.0,USD,Mensual,Departamento - Urquiza R,Departamento,Venta
9796,KW/hogaCQdJ5CgkitC6Ibw==,Propiedad,2020-04-20,2020-05-14,2020-04-20,-34.5716664,-58.4831534,Argentina,Capital Federal,Villa Urquiza,,,,2.0,1.0,1.0,,,112500.0,USD,,"Departamento en Venta en Villa urquiza, Capital federal U$S 112500",Departamento,Venta
9797,uBbyiLMZFfhBSyXUriGejQ==,Propiedad,2020-04-20,2020-05-14,2020-04-20,-34.5716664,-58.4831534,Argentina,Capital Federal,Villa Urquiza,,,,2.0,1.0,1.0,,,114000.0,USD,,"Departamento en Venta en Villa urquiza, Capital federal U$S 114000",Departamento,Venta
9891,XLSBNcu1PDjp6hM83aPa7Q==,Propiedad,2020-04-20,2020-04-22,2020-04-20,-34.5716664,-58.4831534,Argentina,Capital Federal,Villa Urquiza,,,,3.0,2.0,1.0,,,177000.0,USD,,"Departamento en Venta en Villa urquiza, Capital federal U$S 177000",Departamento,Venta
9892,PvXXMvX5LwwjITRvHDhSzw==,Propiedad,2020-04-20,2020-09-23,2020-04-20,-34.5716664,-58.4831534,Argentina,Capital Federal,Villa Urquiza,,,,3.0,2.0,1.0,,,139000.0,USD,,"Departamento en Venta en Villa urquiza, Capital federal U$S 139000",Departamento,Venta
9940,PooeSTK5PhYKCqvOIbnCYA==,Propiedad,2020-04-20,2020-11-03,2020-04-20,-34.5709015,-58.4807308,Argentina,Capital Federal,Villa Urquiza,,,,4.0,,1.0,100.0,100.0,220000.0,USD,Mensual,Departamento - Villa Urquiza,Oficina,Venta
9962,TT7degZMDpFjaMB5w+MbLQ==,Propiedad,2020-04-20,2020-12-15,2020-04-20,-34.5631878,-58.4830142,Argentina,Capital Federal,Villa Urquiza,,,,5.0,3.0,2.0,147.0,105.0,349000.0,USD,,"VENTA PH V. URQUIZA,5 AMB. 2 PATIOS,TERRAZA, EXCELENTE PROPIEDAD!",PH,Venta
9990,hU4FWlwl0WZZs99TAAIyAw==,Propiedad,2020-04-20,2020-05-14,2020-04-20,-34.5716664,-58.4831534,Argentina,Capital Federal,Villa Urquiza,,,,5.0,4.0,3.0,,,323000.0,USD,,"Departamento en Venta en Villa urquiza, Capital federal U$S 323000",Departamento,Venta
10092,Z9ytVnO5ZrZ9uIxnZ9iChQ==,Propiedad,2020-05-23,2020-09-23,2020-05-23,-34.57759476,-58.49518585,Argentina,Capital Federal,Villa Urquiza,,,,1.0,,1.0,42.0,40.0,,,Mensual,Roosevelt  5700 3°  - Consulte precio - Departamento en Venta,Departamento,Venta
10109,jGRhK+2irWQowt/h+O3YbQ==,Propiedad,2020-05-23,2020-06-01,2020-05-23,-34.57533,-58.46353,Argentina,Capital Federal,Villa Urquiza,,,,,,5.0,1350.0,1350.0,,,Mensual,Local de 1 ambiente en Alquiler en Villa urquiza,Local comercial,Alquiler
10110,bTxC0gCGY/Iiz4dh5u4yoA==,Propiedad,2020-05-23,2020-06-01,2020-05-23,-34.57555,-58.43981,Argentina,Capital Federal,Villa Urquiza,,,,,,5.0,2753.0,2753.0,,,Mensual,Local de 1 ambiente en Alquiler en Villa urquiza,Local comercial,Alquiler
10155,NHE/+Uht3AqJ6nCVRkbrVA==,Propiedad,2020-05-23,2020-05-30,2020-05-23,-34.57251358,-58.47815323,Argentina,Capital Federal,Villa Urquiza,,,,1.0,,1.0,50.0,40.0,23900.0,ARS,,Lugones  2200 1°  - $ 23.900 - Tipo casa PH Alquiler,Casa,Alquiler
10280,TA50oj6GtZb+mcJhkG5O4w==,Propiedad,2020-05-23,2020-06-10,2020-05-23,-34.56758881,-58.49053192,Argentina,Capital Federal,Villa Urquiza,,,,1.0,,1.0,48.0,42.0,18500.0,ARS,,Diaz Colodrero  3100 2°  - $ 18.500 - Departamento Alquiler,Departamento,Alquiler
10321,OVJwOd/Gt02q97FXKi/9rQ==,Propiedad,2020-05-23,2020-12-03,2020-05-23,-34.5807956,-58.4735023,Argentina,Capital Federal,Villa Urquiza,,,,,,1.0,60.0,60.0,48000.0,ARS,,LOCAL A MTS DE TRIUNVIRATO - SUBTE,Local comercial,Alquiler
10454,DBeNEWMziiCngQPwU8SIug==,Propiedad,2020-05-23,2020-06-01,2020-05-23,-34.5771678,-58.4797923,Argentina,Capital Federal,Villa Urquiza,,,,2.0,1.0,1.0,35.0,35.0,18000.0,ARS,,2 ambientes con cochera villa urquiza balcon a la calle,Departamento,Alquiler
10734,U00uEs2ajU7LdEtQ+dZKfw==,Propiedad,2020-05-23,2020-09-23,2020-05-23,-34.57403564,-58.48218918,Argentina,Capital Federal,Villa Urquiza,,,,,,,1100.0,,1300000.0,USD,,Fernandez Blanco  2300 - U$D 1.300.000 - Terreno en Venta,Lote,Venta
