FECHA,TMAX,TMIN,NOMBRE
10032023,36.6,21.6,VILLA DOLORES AERO
10032023,28.1,18,VILLA GESELL AERO
10032023,30,17.8,VILLA REYNOLDS AERO
9032023,31.6,24.1,AEROPARQUE AERO
9032023,31.9,13.8,AZUL AERO
9032023,28.5,16.4,BAHIA BLANCA AERO
9032023,16.2,5.1,BARILOCHE AERO
9032023,-12,-16.1,BASE BELGRANO II
9032023,5,2.5,BASE CARLINI (EX JUBANY)
9032023,4,-2.2,BASE ESPERANZA
9032023,0.7,-3.2,BASE MARAMBIO
9032023,5.3,0.4,BASE ORCADAS
9032023,1.5,-3.8,BASE SAN MARTIN
9032023,29.7,12.7,BENITO JUAREZ AERO
9032023,21.8,18.8,BERNARDO DE IRIGOYEN AERO
9032023,33.7,15,BOLIVAR AERO
9032023,33.3,23.8,BUENOS AIRES OBSERVATORIO
9032023,,18.8,CAMPO DE MAYO AERO
9032023,38,22.4,CATAMARCA AERO
9032023,37,21.2,CERES AERO
9032023,36,22.2,CHAMICAL AERO
9032023,18.2,8.5,CHAPELCO AERO
9032023,34,23.5,CHEPES
9032023,,20.5,CHILECITO AERO
9032023,25,17.8,CIPOLLETTI
9032023,25,11.3,COMODORO RIVADAVIA AERO
9032023,37.9,21.3,CONCORDIA AERO
9032023,34.4,17.4,CORDOBA AERO
9032023,36.2,21.2,CORDOBA OBSERVATORIO
9032023,27.7,15,CORONEL PRINGLES AERO
9032023,26,14.5,CORONEL SUAREZ AERO
9032023,34.4,23.5,CORRIENTES AERO
9032023,34.4,13.1,DOLORES AERO
9032023,17.5,5.9,EL BOLSON AERO
9032023,18.9,-0.5,EL CALAFATE AERO
9032023,33.5,20.1,EL PALOMAR AERO
9032023,,17,EL TREBOL
9032023,34,18.8,ESCUELA DE AVIACION MILITAR AERO
9032023,17.5,,ESQUEL AERO
9032023,34.1,20.1,EZEIZA AERO
9032023,35,23,FORMOSA AERO
9032023,33.8,17.5,GENERAL PICO AERO
9032023,19,6.5,GOBERNADOR GREGORES AERO
9032023,38,21.7,GUALEGUAYCHU AERO
9032023,25.8,20.6,IGUAZU AERO
9032023,36,21.9,ITUZAINGO
9032023,34,17,JACHAL
9032023,33.1,17.8,JUJUY AERO
9032023,31.2,15.1,JUJUY U N
9032023,35.8,18.5,JUNIN AERO
9032023,31.6,18.8,LA PLATA AERO
9032023,21.2,7.9,LA QUIACA OBSERVATORIO
9032023,38.2,21.2,LA RIOJA AERO
9032023,36.3,16.3,LABOULAYE AERO
9032023,,17.1,LAS FLORES
9032023,34.9,23.6,LAS LOMITAS
9032023,28,15.2,MALARGUE AERO
9032023,21.8,,MAQUINCHAO
9032023,29.6,12.2,MAR DEL PLATA AERO
9032023,37,17.9,MARCOS JUAREZ AERO
9032023,34,,MARIANO MORENO AERO
9032023,30.3,20.2,MENDOZA AERO
9032023,29.4,19.5,MENDOZA OBSERVATORIO
9032023,36.5,22,MERCEDES AERO (CTES)
9032023,,22,MERLO AERO
9032023,30.5,19.5,METAN
9032023,,23.3,MONTE CASEROS AERO
9032023,33.5,23.2,MORON AERO
9032023,25.4,17.1,NEUQUEN AERO
9032023,36,16.9,NUEVE DE JULIO
9032023,33.5,21,OBERA
9032023,31.5,14.1,OLAVARRIA AERO
9032023,34.8,22.5,ORAN AERO
9032023,37.4,21.4,PARANA AERO
9032023,24.1,6.5,PASO DE INDIOS
9032023,37.9,22.6,PASO DE LOS LIBRES AERO
9032023,35.7,15.1,PEHUAJO AERO
9032023,,5.5,PERITO MORENO AERO
9032023,24.9,14.8,PIGUE AERO
9032023,35.9,19.5,PILAR OBSERVATORIO
9032023,34.7,23.3,POSADAS AERO
9032023,35.2,20,PRESIDENCIA ROQUE SAENZ PEÑA AERO
9032023,22.5,6.4,PUERTO DESEADO AERO
9032023,21.8,13.9,PUERTO MADRYN AERO
9032023,30.6,22.5,PUNTA INDIO B.A.
9032023,37,20,RAFAELA AERO
9032023,35.8,21.6,RECONQUISTA AERO
9032023,35,22.2,RESISTENCIA AERO
9032023,26.6,15.2,RIO COLORADO
9032023,33.5,19.4,RIO CUARTO AERO
9032023,19.2,3.2,RIO GALLEGOS AERO
9032023,12,-1.6,RIO GRANDE B.A.
9032023,35,22.8,RIVADAVIA
9032023,37.6,19.8,ROSARIO AERO
9032023,30.5,15.3,SALTA AERO
9032023,26.2,17.3,SAN ANTONIO OESTE AERO
9032023,29.8,16.2,SAN CARLOS (MZA)
9032023,32,21.8,SAN FERNANDO AERO
9032023,34.9,22,SAN JUAN AERO
9032023,22,4.4,SAN JULIAN AERO
9032023,33.4,20,SAN LUIS AERO
9032023,31.5,19.7,SAN MARTIN (MZA)
9032023,27.3,18.6,SAN RAFAEL AERO
9032023,20,4.5,SANTA CRUZ AERO
9032023,30.1,16.3,SANTA ROSA AERO
9032023,35,,SANTA ROSA DE CONLARA AERO
9032023,36.2,20.3,SANTIAGO DEL ESTERO AERO
9032023,38.2,15.5,SAUCE VIEJO AERO
9032023,37.6,20,SUNCHALES AERO
9032023,30.5,11,TANDIL AERO
9032023,35,22.8,TARTAGAL AERO
9032023,34.5,22.1,TERMAS DE RIO HONDO AERO
9032023,37,19.5,TINOGASTA
9032023,27.4,11.9,TRELEW AERO
9032023,,17.8,TRENQUE LAUQUEN
9032023,30.5,16.4,TRES ARROYOS
9032023,33.8,22.6,TUCUMAN AERO
9032023,14.9,2.6,USHUAIA AERO
9032023,33,13.2,USPALLATA
9032023,36.5,17.5,VENADO TUERTO AERO
9032023,29.5,17,VICTORICA
9032023,,12.3,VIEDMA AERO
9032023,36.3,17.6,VILLA DE MARIA DEL RIO SECO
9032023,37.5,20.8,VILLA DOLORES AERO
9032023,28.4,14,VILLA GESELL AERO
9032023,35.2,15.9,VILLA REYNOLDS AERO
8032023,30.5,24.8,AEROPARQUE AERO
8032023,30.6,15.3,AZUL AERO
8032023,30.1,13.8,BAHIA BLANCA AERO
8032023,17.2,10.8,BARILOCHE AERO
8032023,-11.6,-16.1,BASE BELGRANO II
8032023,4.4,1.5,BASE CARLINI (EX JUBANY)
8032023,1.2,-2.2,BASE ESPERANZA
8032023,-1.8,-3.6,BASE MARAMBIO
8032023,4.2,0.3,BASE ORCADAS
8032023,2.5,-1.6,BASE SAN MARTIN
8032023,29,15.3,BENITO JUAREZ AERO
8032023,27.7,19,BERNARDO DE IRIGOYEN AERO
8032023,31.1,15.5,BOLIVAR AERO
8032023,33.7,23.7,BUENOS AIRES OBSERVATORIO
8032023,,18.3,CAMPO DE MAYO AERO
8032023,37.5,23.4,CATAMARCA AERO
8032023,36,20.5,CERES AERO
8032023,35.5,20.5,CHAMICAL AERO
8032023,20,11.4,CHAPELCO AERO
8032023,32.5,21,CHEPES
8032023,,17.8,CHILECITO AERO
8032023,30.9,18.3,CIPOLLETTI
8032023,22.7,12.3,COMODORO RIVADAVIA AERO
8032023,36.6,19.4,CONCORDIA AERO
8032023,35,16.3,CORDOBA AERO
8032023,36.2,18.5,CORDOBA OBSERVATORIO
8032023,27.3,14.3,CORONEL PRINGLES AERO
8032023,27.7,14.5,CORONEL SUAREZ AERO
8032023,33.8,20.8,CORRIENTES AERO
8032023,32.1,16.1,DOLORES AERO
8032023,20.2,12.3,EL BOLSON AERO
8032023,15.4,6,EL CALAFATE AERO
8032023,34.4,20.2,EL PALOMAR AERO
8032023,,13.5,EL TREBOL
8032023,34.8,16.8,ESCUELA DE AVIACION MILITAR AERO
8032023,18,,ESQUEL AERO
8032023,34.6,19.3,EZEIZA AERO
8032023,34.9,22.3,FORMOSA AERO
8032023,29.6,16.5,GENERAL PICO AERO
8032023,18.8,6,GOBERNADOR GREGORES AERO
8032023,37.1,18.9,GUALEGUAYCHU AERO
8032023,26.8,20.8,IGUAZU AERO
8032023,33.2,21.5,ITUZAINGO
8032023,36.5,12,JACHAL
8032023,31.6,18.8,JUJUY AERO
8032023,29.8,14.5,JUJUY U N
8032023,34.4,16.6,JUNIN AERO
8032023,30.9,19.8,LA PLATA AERO
8032023,21.1,8.5,LA QUIACA OBSERVATORIO
8032023,37.6,19.2,LA RIOJA AERO
8032023,33.6,14,LABOULAYE AERO
8032023,32.5,17,LAS FLORES
8032023,32,20.8,LAS LOMITAS
8032023,30.5,11.1,MALARGUE AERO
